manifesto_id,party_id,partyname,election_date,year,language,cmp_code,text
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"soziale Gerechtigkeit,"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,und Gleichberechtigung der Frauen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Soziale Unsicherheit ist allgemein geworden
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Die Kluft zwischen Arm und Reich wächst
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Die privaten Vermögen Weniger florieren
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Die Steuerpolitik fördert die Umverteilung zugunsten der Unternehmen und Vermögenden, die NormalverdienerInnen belastet sie um so mehr"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Ein Schulabschluß garantiert keine Arbeit, der Job keine soziale Absicherung und das eigene ökologische Handeln kein gesundes Leben"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Dies vermindert vor allem die Chancen junger Frauen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"- das Ausbildungsangebot für sie betont klassische Frauenberufe,"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per604,"die immer wiederkehrende Debatte um die Schwangerschaftsberatung läßt ihnen für eigene Entscheidungen über ihre Zukunft keinen Spielraum,"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,eine entwürdigende AusländerInnenpolitik drängt besonders junge Migrantinnen an den Rand der Gesellschaft
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Wir wollen, daß Jugendliche in die Gestaltung der heutigen Gesellschaft und ihrer Zukunft eingreifen können anstatt sich überlieferten Lebensweisen anpassen zu müssen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Fast alle Haushaltstypen sparen durch die Senkung der Sozialversicherungsbeiträge nach Einführung der Energiesteuer im zehnten Jahr bereits deutlich Kosten ein – vorausgesetzt, Energiesparmaßnahmen werden ergriffen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Haushalte mit niedrigem Einkommen werden anteilsmäßig mehr entlastet als obere Einkommensschichten
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"und soziale,"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Die derzeitig häufigste Form der Altlastensanierung als reine Sicherung stellt eine unverantwortbare Belastung auf die Zukunft dar, mit der Probleme nur in die Zukunft unserer Kinder verlagert werden"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,ohne national und international die Kluft zwischen Arm und Reich weiter aufzureißen
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Wir wollen eine Entwicklung, die es erlaubt, die Bedürfnisse der Gegenwart so zu erfüllen, daß auch die Bedürfnisse der nachfolgenden Generationen noch befriedigt werden können"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,Wirtschaftspolitik muß die Gleichberechtigung von Frauen und Minderheiten fördern
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"Der Erhalt des sozialen Konsenses, eine leistungsfähige ökologische, wirtschaftsnahe, soziale und kulturelle Infrastruktur sind unverzichtbar"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"BÜNDNIS 90/DIE GRÜNEN wollen? einen Staat, der die Verwirklichung unterschiedlicher Lebensentwürfe erlaubt und Chancengerechtigkeit gewährleistet,"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"BÜNDNIS 90/DIE GRÜNEN setzen auf ein Wirtschafts- und Technologiekonzept, das die Marktwirtschaft ökologisch und sozial und im Sinne der Gleichstellung von Frauen und Männern erneuert"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,und gerechter Verteilungspolitik
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"eine gerechte Verteilung von Arbeit,"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"? Haus-, Familien- und Erwerbsarbeit gerecht verteilen"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per603,und das Leben mit Kindern erleichtert und finanziell unterstützt
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,"und eine Wirtschaftspolitik, die die Stärken der Regionen fördert und die Nachteile ausgleicht"
41113_199809,41113,Alliance‘90/Greens,199809,,german,per503,? Eine gerechte Verteilung der Gewinne
